"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10559","TestPagination","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestPagination"
"","18766","TestClearFilters","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestClearFilters"
"","19986","Test","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","Test"
"Rule 3: Type field is required - Error msg: This field is required
","18473","Test_Rule3_TypeFieldRequired","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule3_TypeFieldRequired"
"Boundary: Large cost value
","13650","Test_Boundary_LargeCostValue","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Boundary_LargeCostValue"
"","49445","TestFilterByInvalidDateRange","TestX","2026-05-20","broken","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByInvalidDateRange"
"","22916","EditCostOfActiveStock_ValidCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCostOfActiveStock_ValidCost"
"Edit SubType: Cost with special characters
","14733","Test_EditSubType_Rule5b_CostWithSpecialCharacters","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_Rule5b_CostWithSpecialCharacters"
"","18745","EditCostOfActiveStock_InvalidCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCostOfActiveStock_InvalidCost"
"","20251","AddStockItemWithNameAlreadyExistsSameStatus","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithNameAlreadyExistsSameStatus"
"","21413","AddStockItemWithValidData","TestX","2026-05-20","passed","2026-05-20","DemoTest","PeoTest","DemoTest","AddStockItemWithValidData"
"","21298","TestFilterByBitNumberNotExits","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByBitNumberNotExits"
"","20010","EditNameOfActiveStock_BlankName","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditNameOfActiveStock_BlankName"
"","18591","EditDescriptionOfActiveStock_MaxLength","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditDescriptionOfActiveStock_MaxLength"
"","24834","EditDescriptionOfActiveStock_WithSpecialCharacters","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditDescriptionOfActiveStock_WithSpecialCharacters"
